COMPANY,EXP,Industry ,JOB,Location.1,Min Salary,Max Salary,Salary.1
,2 năm,"Bán lẻ,Dịch vụ đời sống","Nhân Viên Kinh Doanh Điện Máy Lương Upto 20 Triệu - Tại Đống Đa, Hà Nội - Đi Làm Ngay",Hà Nội,20,0,20
(ONEWAY MOBILE) Công Ty Cổ phần Thương Mại Và Dịch Vụ ONEWAY Việt Nam,0,"Chăm sóc khách hàng,Vận hành",Nhân Viên Support Marketing - Thu Nhập Từ 8 -10 Triệu - Không Yêu Cầu Kinh Nghiệm,Hà Nội,8,10,8-10
AN GIA GROUP,0,"BĐS,Xây dựng",Nhân Viên Kinh Doanh Bất Động Sản/CSKH/Tư Vấn/Sales Căn Hộ - Không YC Kinh Nghiệm - Thử Việc Nhận Fu...,Hồ Chí Minh,0,0,0
AN GIA GROUP,2 năm,"BĐS,Xây dựng",Trưởng Phòng Kinh Doanh Bất Động Sản (The Gió),Hồ Chí Minh,50,200,50-200
Asia King Travel,0,"Du lịch,Khách sạn",Sales Tour Tiếng Ý,Hà Nội,12,18,12-18
BÁO ĐIỆN TỬ VNEXPRESS.NET,5+ năm,Luật,Trưởng Nhóm Pháp Chế,Hồ Chí Minh,0,0,0
BASE BUSINESS SOLUTIONS,2 năm,Công nghệ thông tin,Back End Developer (Python - Senior) - Lương Đến 30 Triệu Tại Hồ Chí Minh,Hồ Chí Minh,18,30,18-30
Bee Logistics Corporation,1 năm,,Nhân Viên Giao Nhận Hiện Trường Cửa Khẩu Tại Lạng Sơn,Lạng Sơn,8.5,10,8.5-10
Beetechsoft,0,Biên phiên dịch,Thực Tập Sinh Phiên Dịch Tiếng Nhật (Lĩnh Vực IT),Hà Nội,4,0,4
Beetechsoft,1 năm,Biên phiên dịch,Biên Phiên Dịch Tiếng Nhật Ngành IT (IT Comtor),Hà Nội,25,0,25
Beetechsoft,2 năm,"Du lịch,Khách sạn",Nhân Viên Hành Chính - Lễ Tân,Hưng Yên,7,10,7-10
Beetechsoft,3 năm,Công nghệ thông tin,Visual Basic Developer,Hà Nội,20,50,20-50
BỆNH VIỆN MẶT TRỜI - CHI NHÁNH CÔNG TY CỔ PHẦN PHÁT TRIỂN CÔNG NGHỆ Y HỌC VIỆT NAM - NHẬT BẢN,2 năm,Luật,Chuyên Viên Pháp Chế (Lĩnh Vực Y Tế),Hà Nội,0,0,0
CALIFORNIA FITNESS & YOGA CENTERS,0,"Chăm sóc khách hàng,Vận hành",Nhân Viên Tư Vấn Và Chăm Sóc Khách Hàng (Toàn Quốc),Hà Nội,6,20,6-20
CALIFORNIA FITNESS & YOGA CENTERS,0,"Du lịch,Khách sạn",Nhân Viên Lễ Tân Full/Part-Time,Khánh Hoà,3,8,3-8
CENNEXT,0,Biên phiên dịch,Nhân Viên Quản Lý Sản Phẩm Thương Mại Điện Tử Tiếng Trung - Thu Nhập Từ 15Tr,Hồ Chí Minh,15,0,15
